"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2023","37,950.02","38,004.17","38,196.77","36,311.82","","-0.06%"
"04/01/2023","37,974.02","36,847.66","39,013.19","36,847.66","","2.42%"
"03/01/2023","37,076.96","34,233.12","37,886.95","33,644.60","","8.98%"
"02/01/2023","34,022.44","32,303.38","35,078.06","32,036.00","","5.40%"
"01/01/2023","32,278.17","30,988.92","32,571.30","30,970.50","","4.18%"
"12/01/2022","30,983.33","31,196.01","31,475.80","29,242.08","","-0.29%"
"11/01/2022","31,073.51","30,419.53","31,582.65","30,316.33","","2.61%"
"10/01/2022","30,284.29","28,911.19","30,613.52","25,811.33","","5.94%"
"09/01/2022","28,586.64","36,288.51","37,157.98","27,683.03","","-20.95%"
"08/01/2022","36,161.84","33,112.83","37,210.53","30,730.14","","9.42%"
"07/01/2022","33,047.34","34,249.27","35,047.55","31,194.40","","-4.26%"
"06/01/2022","34,517.01","31,919.69","36,392.66","30,805.88","","8.12%"
"05/01/2022","31,925.10","32,642.98","36,208.72","31,214.63","","-1.90%"
"04/01/2022","32,541.99","38,191.80","38,191.80","31,305.24","","-14.64%"
"03/01/2022","38,122.24","32,275.54","43,841.25","31,720.38","","48.02%"
"02/01/2022","25,755.06","28,594.62","31,733.28","19,459.88","","-9.42%"
"01/01/2022","28,432.06","29,788.26","30,447.82","26,073.79","","-4.54%"
"12/01/2021","29,782.92","29,457.66","30,145.47","27,905.46","","1.20%"
"11/01/2021","29,429.84","28,698.51","30,468.61","27,704.07","","2.76%"
"10/01/2021","28,638.21","26,842.50","30,952.79","26,668.00","","6.07%"
"09/01/2021","26,998.43","27,123.78","28,539.49","26,444.27","","-0.28%"
"08/01/2021","27,074.33","24,484.74","27,219.95","24,259.77","","11.31%"
"07/01/2021","24,322.65","24,338.78","25,294.39","23,977.73","","0.63%"
"06/01/2021","24,169.41","23,677.59","25,038.33","23,533.79","","2.38%"
"05/01/2021","23,606.41","22,657.25","24,329.16","22,189.43","","3.74%"
"04/01/2021","22,755.79","21,264.62","24,899.77","21,258.70","","7.37%"
"03/01/2021","21,192.95","20,994.31","21,629.29","20,452.44","","1.02%"
"02/01/2021","20,978.23","19,857.08","21,060.00","19,742.11","256.01M","5.26%"
"01/01/2021","19,929.38","18,227.06","20,248.80","18,196.49","","9.84%"
"12/01/2020","18,143.60","17,778.36","18,644.23","17,751.53","","2.34%"
"11/01/2020","17,729.52","16,592.86","18,129.48","16,559.03","","6.05%"
"10/01/2020","16,718.68","17,317.83","17,412.63","16,423.68","","-3.42%"
"09/01/2020","17,311.45","17,295.13","17,445.95","16,805.51","","0.50%"
"08/01/2020","17,224.92","16,986.82","17,590.86","16,885.85","","1.36%"
"07/01/2020","16,994.15","17,166.43","17,406.60","16,355.18","","-1.15%"
"06/01/2020","17,191.50","17,925.04","18,231.25","17,035.72","","-3.72%"
"05/01/2020","17,856.29","17,155.90","18,137.37","16,948.21","","3.58%"
"04/01/2020","17,238.62","16,418.81","17,824.35","16,281.92","","4.05%"
"03/01/2020","16,568.33","15,379.16","16,643.51","14,112.49","","7.50%"
"02/01/2020","15,412.42","16,336.63","16,647.58","15,071.29","","-6.74%"
"01/01/2020","16,525.72","15,718.73","17,110.82","15,686.57","","5.29%"
"12/01/2019","15,695.56","15,626.65","15,772.75","15,293.38","","0.75%"
"11/01/2019","15,578.47","15,708.98","15,867.60","15,371.33","","-0.43%"
"10/01/2019","15,644.98","15,899.39","16,314.54","15,574.75","","-1.33%"
"09/01/2019","15,856.51","15,959.50","16,376.38","15,592.71","","-0.46%"
"08/01/2019","15,930.43","14,967.54","15,976.46","14,967.54","","6.17%"
"07/01/2019","15,005.13","15,384.15","15,650.75","14,840.68","","-2.58%"
"06/01/2019","15,402.03","15,050.62","15,755.38","14,744.41","","2.61%"
"05/01/2019","15,010.87","14,582.94","15,042.26","14,131.23","","3.21%"
"04/01/2019","14,543.61","15,184.86","15,378.36","14,459.07","","-4.28%"
"03/01/2019","15,193.70","15,303.65","15,902.27","14,922.86","","-1.09%"
"02/01/2019","15,361.07","15,213.04","15,414.07","14,982.15","","-0.67%"
"01/01/2019","15,464.79","15,343.99","15,493.06","15,014.93","","1.97%"
"12/01/2018","15,166.23","15,337.32","15,396.87","14,414.28","","-1.26%"
"11/01/2018","15,359.40","14,776.56","15,591.75","14,519.72","","3.94%"
"10/01/2018","14,776.56","15,130.37","15,815.46","14,283.99","","-2.17%"
"09/01/2018","15,103.87","15,396.91","16,043.08","14,923.23","","-1.99%"
"08/01/2018","15,410.16","13,972.32","15,741.61","13,663.54","","10.39%"
"07/01/2018","13,960.35","13,726.42","14,318.91","13,690.99","","1.64%"
"06/01/2018","13,735.53","13,896.64","14,058.48","13,524.13","","-1.12%"
"05/01/2018","13,891.48","14,664.66","14,828.10","13,627.93","","-5.56%"
"04/01/2018","14,709.34","13,758.16","14,709.34","12,939.58","","6.95%"
"03/01/2018","13,753.69","14,130.82","14,495.87","13,363.57","","-2.70%"
"02/01/2018","14,134.72","14,601.67","14,699.63","13,837.15","","-2.86%"
"01/01/2018","14,550.13","14,650.46","15,171.60","14,533.65","","-0.33%"
"12/01/2017","14,597.74","14,952.41","15,132.38","14,363.74","","-2.37%"
"11/01/2017","14,952.41","14,530.75","15,196.00","14,422.22","","2.78%"
"10/01/2017","14,548.11","14,487.93","14,695.90","14,312.97","","0.56%"
"09/01/2017","14,467.66","14,571.67","15,016.94","14,435.25","","-0.46%"
"08/01/2017","14,534.80","14,218.47","15,104.98","14,033.57","","2.24%"
"07/01/2017","14,217.01","13,330.14","14,224.04","13,262.41","","6.71%"
"06/01/2017","13,322.81","13,546.18","13,588.52","12,593.63","","-1.42%"
"05/01/2017","13,514.81","14,225.12","14,638.01","13,486.38","","-4.69%"
"04/01/2017","14,179.23","14,214.86","14,773.16","13,720.66","","-0.41%"
"03/01/2017","14,237.27","14,388.10","14,557.56","13,809.07","","-0.64%"
"02/01/2017","14,329.49","15,057.30","15,122.03","14,091.28","","-4.53%"
"01/01/2017","15,009.60","14,419.65","15,136.48","14,196.58","","4.06%"
"12/01/2016","14,423.84","14,587.16","14,976.72","14,075.15","","-1.09%"
"11/01/2016","14,583.16","13,899.78","14,654.06","13,714.67","","4.92%"
"10/01/2016","13,898.80","14,357.20","14,635.02","13,742.02","","-3.14%"
"09/01/2016","14,349.28","14,793.74","15,194.38","14,280.08","","-3.00%"
"08/01/2016","14,793.74","14,324.16","14,808.64","14,132.94","","3.64%"
"07/01/2016","14,274.73","13,831.27","14,440.11","13,678.82","","2.81%"
"06/01/2016","13,884.60","14,116.92","14,361.22","13,735.92","","-1.53%"
"05/01/2016","14,100.19","13,746.44","14,179.94","13,638.49","","2.52%"
"04/01/2016","13,753.62","14,012.85","14,374.37","13,649.92","","-2.05%"
"03/01/2016","14,040.91","13,468.76","14,314.21","13,407.63","","3.98%"
"02/01/2016","13,504.01","13,290.52","13,632.33","12,863.82","","1.53%"
"01/01/2016","13,300.80","13,625.12","13,863.95","12,839.48","","-2.41%"
"12/01/2015","13,629.66","12,436.86","13,751.10","12,306.56","","9.76%"
"11/01/2015","12,418.08","11,902.62","12,654.69","11,708.20","","4.29%"
"10/01/2015","11,907.32","12,547.10","12,590.95","11,606.03","","-5.10%"
"09/01/2015","12,547.10","12,674.12","13,406.72","11,666.34","","-1.81%"
"08/01/2015","12,778.60","11,080.96","13,076.52","11,004.87","","15.49%"
"07/01/2015","11,064.94","9,552.91","11,088.68","9,523.67","","15.70%"
"06/01/2015","9,563.76","9,450.28","9,903.74","9,238.91","","1.69%"
"05/01/2015","9,404.63","9,724.50","9,838.66","9,380.89","","-3.11%"
"04/01/2015","9,706.09","9,626.19","10,005.62","9,475.26","","0.63%"
"03/01/2015","9,645.33","10,114.46","10,646.27","9,311.55","","-4.46%"
"02/01/2015","10,095.53","10,331.86","10,728.16","9,951.15","","-2.28%"
"01/01/2015","10,330.71","7,746.89","10,330.71","7,725.35","","33.37%"
"12/01/2014","7,745.69","7,346.93","8,433.57","7,295.65","","5.45%"
"11/01/2014","7,345.12","6,881.63","7,703.09","6,785.95","","6.71%"
"10/01/2014","6,883.37","6,555.05","6,883.37","6,427.11","","5.06%"
"09/01/2014","6,552.14","6,256.57","6,699.32","6,141.28","","5.12%"
"08/01/2014","6,232.91","6,385.78","6,641.52","6,187.42","","-2.54%"
"07/01/2014","6,395.25","6,692.17","6,878.37","6,358.95","","-4.38%"
"06/01/2014","6,688.10","6,605.67","6,813.31","6,401.86","","1.40%"
"05/01/2014","6,595.62","6,769.49","6,850.76","6,484.57","","-2.61%"
"04/01/2014","6,772.38","6,568.62","6,831.63","6,267.47","","3.15%"
"03/01/2014","6,565.68","6,680.13","6,712.61","6,050.20","","-2.36%"
"02/01/2014","6,724.68","6,662.89","7,028.24","6,561.15","","0.76%"
"01/01/2014","6,673.67","6,458.47","6,837.14","6,320.95","","3.18%"
"12/01/2013","6,468.10","6,129.86","6,585.66","6,056.44","","5.55%"
"11/01/2013","6,127.76","6,178.83","6,354.70","6,064.85","","-0.77%"
"10/01/2013","6,175.03","6,226.21","6,353.10","6,090.15","","-0.86%"
"09/01/2013","6,228.78","6,019.82","6,470.23","5,978.97","","3.47%"
"08/01/2013","6,019.98","5,948.32","6,320.95","5,918.29","","1.32%"
"07/01/2013","5,941.32","7,264.60","7,309.90","5,847.16","","-18.22%"
"06/01/2013","7,264.60","7,502.69","7,569.64","7,171.35","","-3.32%"
"05/01/2013","7,514.27","7,524.36","7,656.14","7,410.96","","-0.15%"
"04/01/2013","7,525.75","7,686.61","7,908.40","7,119.48","","-2.09%"
"03/01/2013","7,686.37","8,064.77","8,143.22","7,613.49","","-4.69%"
"02/01/2013","8,064.69","7,995.58","8,186.18","7,996.26","","0.87%"
"01/01/2013","7,995.50","7,849.38","8,078.38","7,808.87","","1.99%"
"12/01/2012","7,839.34","7,900.44","8,100.90","7,754.41","","-0.76%"
"11/01/2012","7,899.74","7,849.67","7,941.41","7,666.60","","0.63%"
"10/01/2012","7,849.99","8,085.59","8,249.07","7,738.23","","-2.92%"
"09/01/2012","8,085.83","7,895.04","8,352.83","7,868.83","","2.42%"
"08/01/2012","7,895.04","7,902.12","7,994.32","7,700.50","","-0.09%"
